2021-01-09 14:59:20 status unpacked dpkg:amd64 1.19.7
2021-01-09 14:59:20 upgrade debconf:all 1.5.71 1.5.71
2021-01-09 14:59:20 status half-configured debconf:all 1.5.71
2021-01-09 14:59:20 status unpacked debconf:all 1.5.71
2021-01-09 14:59:20 status half-installed debconf:all 1.5.71
2021-01-09 14:59:20 status unpacked debconf:all 1.5.71
2021-01-09 14:59:20 install libpam0g:amd64 <none> 1.3.1-5
2021-01-09 14:59:20 status half-installed libpam0g:amd64 1.3.1-5
2021-01-09 14:59:20 status unpacked libpam0g:amd64 1.3.1-5
2021-01-09 14:59:20 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.5
2021-01-09 14:59:20 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-01-09 14:59:21 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-01-09 14:59:21 install libpam-modules-bin:amd64 <none> 1.3.1-5
2021-01-09 14:59:21 status half-installed libpam-modules-bin:amd64 1.3.1-5
2021-01-09 14:59:21 status unpacked libpam-modules-bin:amd64 1.3.1-5
2021-01-09 14:59:21 install libpam-modules:amd64 <none> 1.3.1-5
2021-01-09 14:59:21 status half-installed libpam-modules:amd64 1.3.1-5
2021-01-09 14:59:21 status unpacked libpam-modules:amd64 1.3.1-5
2021-01-09 14:59:21 install adduser:all <none> 3.118
2021-01-09 14:59:21 status half-installed adduser:all 3.118
2021-01-09 14:59:21 status unpacked adduser:all 3.118
2021-01-09 14:59:21 install libgpg-error0:amd64 <none> 1.35-1
2021-01-09 14:59:21 status half-installed libgpg-error0:amd64 1.35-1
2021-01-09 14:59:21 status unpacked libgpg-error0:amd64 1.35-1
2021-01-09 14:59:21 install libgcrypt20:amd64 <none> 1.8.4-5
2021-01-09 14:59:21 status half-installed libgcrypt20:amd64 1.8.4-5
2021-01-09 14:59:21 status unpacked libgcrypt20:amd64 1.8.4-5
2021-01-09 14:59:21 install gpgv:amd64 <none> 2.2.12-1+deb10u1
2021-01-09 14:59:21 status half-installed gpgv:amd64 2.2.12-1+deb10u1
2021-01-09 14:59:21 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2021-01-09 14:59:22 install debian-archive-keyring:all <none> 2019.1
2021-01-09 14:59:22 status half-installed debian-archive-keyring:all 2019.1
2021-01-09 14:59:22 status unpacked debian-archive-keyring:all 2019.1
2021-01-09 14:59:22 install liblz4-1:amd64 <none> 1.8.3-1
2021-01-09 14:59:22 status half-installed liblz4-1:amd64 1.8.3-1
2021-01-09 14:59:22 status unpacked liblz4-1:amd64 1.8.3-1
